Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
1	6.1232e-017	1.	7.4988e-033	
2	6.1232e-017	-1.	7.4988e-033	
3	0.47063	0.88233	5.7635e-017	
4	0.47063	-0.88233	5.7635e-017	
5	0.89521	0.44445	-3.2678e-002	
6	0.99014	-0.13832	2.2117e-002	
7	0.81218	-0.57992	6.3616e-002	
8	0.23531	0.88233	0.40757	
9	-0.23531	0.88233	0.40757	
10	-0.40984	0.91016	-6.0377e-002	
11	-0.19923	0.88289	-0.42523	
12	0.23531	0.88233	-0.40757	
13	0.21517	-0.86665	0.45013	
14	-0.27999	-0.87437	0.39632	
15	-0.4427	-0.89586	-3.8146e-002	
16	-0.22746	-0.89787	-0.37694	
17	0.23531	-0.88233	-0.40757	
18	6.049e-016	0.	-1.	
19	-0.86603	0.	0.5	
20	0.17022	-4.924e-002	0.98418	
21	-0.86603	0.	-0.5	
22	0.86503	-4.8017e-002	-0.49942	
23	0.74989	0.21825	0.62453	
24	0.77398	-0.30643	0.55413	
25	-0.38262	-1.8012e-002	0.92373	
26	-0.11312	0.49895	0.85922	
27	-0.1107	-0.52984	0.84084	
28	0.61491	0.49374	-0.61491	
29	-0.85194	-0.46852	-0.23385	
30	-0.86808	0.43464	-0.23984	
31	-0.60233	-0.44105	-0.66534	
32	-0.65074	0.42509	-0.62916	
33	-0.60635	-0.51448	0.60635	
34	-0.60635	0.51448	0.60635	
35	0.22194	-0.51448	-0.82829	
36	-0.22194	0.51448	-0.82829	
37	0.65726	-0.56004	-0.50434	
38	0.49986	-2.4015e-002	-0.86578	
39	-0.5	0.	-0.86603	
40	-1.	0.	-4.8789e-016	
41	0.37772	0.3375	0.86222	
42	0.37339	-0.45508	0.80838	
43	-0.20514	-0.32658	-0.92264	
44	-0.92528	0.33204	0.18335	
45	-0.92429	-0.33485	0.1832	
46	0.22291	0.45781	-0.86065	
47	0.52189	0.61113	0.59511	
48	-0.23087	-0.66234	-0.71275	
49	-0.71913	-0.68999	8.2268e-002	
50	-0.7176	0.69206	7.8136e-002	
51	0.55694	-0.67796	0.47977	
52	8.9941e-002	0.7247	-0.68317	
53	-0.54667	0.7247	-0.41948	
54	-0.55852	-0.73505	-0.3844	
55	0.76144	0.5488	0.345	
56	0.22183	0.60282	0.76642	
57	0.93578	0.12696	0.32892	
58	0.53734	-9.3627e-002	0.83815	
