Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
1	6.1232e-017	1.	7.4988e-033	
2	6.1232e-017	-1.	7.4988e-033	
3	0.43265	0.90156	-1.634e-003	
4	0.41505	-0.90941	-2.6671e-002	
5	0.97271	0.23203	1.1912e-016	
6	0.97271	-0.23203	1.1912e-016	
7	0.76324	-0.64611	9.347e-017	
8	0.19456	0.90876	0.36919	
9	-0.19471	0.92106	0.33725	
10	-0.38942	0.92106	-1.6888e-016	
11	-0.19471	0.92106	-0.33725	
12	0.15933	0.91991	-0.35829	
13	0.20851	-0.92761	0.30995	
14	-0.16546	-0.91899	0.35789	
15	-0.38417	-0.92256	3.6004e-002	
16	-0.2694	-0.91501	-0.30029	
17	0.15148	-0.92544	-0.3473	
18	8.3317e-002	-1.1192e-002	-0.99646	
19	-0.86603	0.	0.5	
20	0.25705	0.11681	0.95931	
21	-0.84607	2.1285e-002	-0.53265	
22	0.83085	0.1877	-0.52389	
23	-0.22498	-0.66938	0.70804	
24	0.80147	-0.43144	0.41412	
25	0.73489	-0.2823	-0.61664	
26	-0.17312	7.7974e-002	0.98181	
27	0.8563	0.28903	0.42803	
28	-0.69975	-0.70366	-0.12338	
29	-0.73743	0.66355	-0.12608	
30	-0.48129	-0.67535	-0.5588	
31	-0.71828	0.37709	-0.5847	
32	-0.43685	0.69099	0.57593	
33	0.16474	-0.35164	-0.92152	
34	-0.17185	0.74714	-0.64207	
35	0.18135	0.35444	-0.91732	
36	0.38945	-0.54256	0.74428	
37	0.57951	0.59112	-0.56101	
38	-0.61073	-0.68966	0.38908	
39	0.60265	0.55808	0.5704	
40	-4.0957e-002	0.70933	0.70368	
41	-0.57159	3.6836e-002	-0.81971	
42	-1.	0.	-4.8789e-016	
43	-0.60117	-0.36817	0.70925	
44	0.60888	-0.17226	0.77433	
45	-0.91076	0.38043	0.16059	
46	0.48735	1.769e-002	-0.87303	
47	0.50786	-0.63397	-0.58323	
48	-0.89138	-0.37139	0.25981	
49	-0.57314	3.9017e-002	0.81853	
50	0.12635	-0.25096	0.95972	
51	0.65848	0.17648	0.73161	
52	0.51568	-0.75424	0.40646	
53	-0.70844	0.38043	0.59446	
54	-0.71984	-0.3119	-0.62013	
55	-0.38427	0.41623	0.82407	
56	0.24302	0.70366	-0.66769	
57	0.21762	-0.6938	-0.6865	
58	-0.17835	-0.55104	-0.8152	
59	-0.92614	0.28148	-0.25107	
60	-0.92129	-0.38043	-8.0602e-002	
61	-0.40665	0.44701	-0.79675	
62	0.43681	0.40094	0.80526	
63	-0.24631	-0.30716	0.91923	
64	-0.51137	0.72623	-0.45946	
65	-0.64139	0.71886	0.26805	
66	0.84695	-0.44359	-0.2931	
67	4.0939e-002	0.41943	0.90687	
68	0.91467	-0.14843	-0.37595	
69	0.46282	-0.37349	-0.80393	
70	0.68406	-0.65598	-0.31898	
71	0.53593	0.37785	-0.75499	
72	-0.12029	-0.24986	-0.96078	
73	-0.3925	-0.291	-0.8725	
74	0.90379	-7.1019e-002	0.42203	
75	0.73161	0.62959	-0.26146	
76	0.45135	0.79975	-0.39583	
77	-0.15689	-0.79598	-0.58464	
78	0.16438	-0.78184	0.60142	
79	0.32872	0.64983	0.68532	
80	-0.7785	-0.51842	-0.3538	
81	-7.9756e-002	0.52544	-0.84708	
82	0.43296	-0.80941	-0.39674	
83	-0.20742	0.15447	-0.96598	
84	-0.92739	-0.1921	-0.32102	
85	0.73495	0.63284	0.24363	
86	0.47428	0.78456	0.3994	
87	5.5543e-002	-0.55756	0.82828	
